UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
19;4;1;2021;1;0;1;1;2;1; ; ;2;459
19;6;1;2021;1;0;1;4;2;1; ; ;2;2343
19;11;1;2021;1;0;1;1;2;1; ; ;2;416
19;19;1;2021;1;0;1;2;4;1; ; ;4;1310
19;20;1;2021;1;0;1;1;2;1; ; ;2;543
74;7;1;2021;1;0;1;1;2;1; ; ;2;597
74;26;1;2021;1;0;1;1;1;1; ; ;1;597
74;44;1;2021;1;0;1;5;2;1; ; ;2;2821
74;56;1;2021;1;0;1;1;1;1; ; ;1;796
74;60;1;2021;1;0;1;2;2;1; ; ;2;1412
74;67;1;2021;1;0;1;1;2;1; ; ;2;597
183;2;1;2021;1;0;1;2;2;1; ; ;2;945
183;11;1;2021;1;0;1;1;2;1; ; ;2;504
183;17;1;2021;1;0;1;2;3;1; ; ;3;1113
183;27;1;2021;1;0;1;1;3;1; ; ;3;316
183;46;1;2021;1;0;1;2;1;1; ; ;1;633
183;47;1;2021;1;0;1;1;2;1; ; ;2;445
183;48;1;2021;1;0;1;1;2;1; ; ;2;316
222;2;1;2021;1;0;1;1;1;1; ; ;1;260
222;3;1;2021;1;0;1;1;1;1; ; ;1;193
222;8;1;2021;1;0;1;2;2;1; ; ;2;330
222;12;1;2021;1;0;1;1;2;1; ; ;2;260
222;19;1;2021;1;0;1;1;2;1; ; ;2;232
222;36;1;2021;1;0;1;2;3;1; ; ;3;464
222;38;1;2021;1;0;1;2;3;1; ; ;3;482
222;41;1;2021;1;0;1;2;1;1; ; ;1;520
222;43;1;2021;1;0;1;2;3;1; ; ;3;463
274;1;1;2021;1;0;1;2;6;1; ; ;6;1270
274;8;1;2021;1;0;1;4;4;1; ; ;4;3622
274;23;1;2021;1;0;1;1;2;1; ; ;2;751
274;25;1;2021;1;0;1;3;1;1; ; ;1;2460
274;28;1;2021;1;0;1;3;4;1; ; ;4;2254
327;6;1;2021;1;0;1;1;1;1; ; ;1;673
327;13;1;2021;1;0;1;1;2;1; ; ;2;505
327;54;1;2021;1;0;1;1;2;1; ; ;2;673
327;68;1;2021;1;0;1;1;1;1; ; ;1;597
327;70;1;2021;1;0;1;1;1;1; ; ;1;575
327;83;1;2021;1;0;1;1;2;1; ; ;2;477
327;89;1;2021;1;0;1;1;1;1; ; ;1;597
327;95;1;2021;1;0;1;1;1;1; ; ;1;622
327;100;1;2021;1;0;1;1;2;1; ; ;2;644
486;15;1;2021;1;0;1;1;2;1; ; ;2;1611
486;22;1;2021;1;0;1;2;2;1; ; ;2;4305
486;27;1;2021;1;0;1;4;1;1; ; ;1;5764
621;5;1;2021;1;0;1;1;1;1; ; ;1;550
621;10;1;2021;1;0;1;2;2;1; ; ;2;1419
621;18;1;2021;1;0;1;1;1;1; ; ;1;1918
621;27;1;2021;1;0;1;3;3;1; ; ;3;2103
621;38;1;2021;1;0;1;1;2;1; ; ;2;446
621;48;1;2021;1;0;1;3;3;1; ; ;3;2129
622;12;1;2021;1;0;1;1;2;1; ; ;2;275
622;16;1;2021;1;0;1;3;1;1; ; ;1;774
622;19;1;2021;1;0;1;1;1;1; ; ;1;743
622;23;1;2021;1;0;1;2;1;1; ; ;1;543
622;27;1;2021;1;0;1;1;1;1; ; ;1;201
622;28;1;2021;1;0;1;3;1;1; ; ;1;639
622;37;1;2021;1;0;1;4;4;4;2;1;2;1008
622;38;1;2021;1;0;1;2;3;1; ; ;3;607
805;11;1;2021;1;0;1;1;1;1; ; ;1;548
805;25;1;2021;1;0;1;1;1;1; ; ;1;470
805;28;1;2021;1;0;1;1;1;1; ; ;1;773
805;36;1;2021;1;0;1;1;2;1; ; ;2;548
805;38;1;2021;1;0;1;1;1;1; ; ;1;773
805;51;1;2021;1;0;1;1;1;1; ; ;1;661
853;1;1;2021;1;0;1;2;1;1; ; ;1;454
853;3;1;2021;1;0;1;1;2;1; ; ;2;320
853;10;1;2021;1;0;1;1;1;1; ; ;1;227
853;22;1;2021;1;0;1;2;2;1; ; ;2;641
853;28;1;2021;1;0;1;2;1;1; ; ;1;548
853;38;1;2021;1;0;1;1;1;1; ; ;1;274
853;53;1;2021;1;0;1;1;1;1; ; ;1;291
853;70;1;2021;1;0;1;1;2;1; ; ;2;274
853;80;1;2021;1;0;1;1;1;1; ; ;1;310
885;8;1;2021;1;0;1;4;5;3;7;1;7;22178
895;13;1;2021;1;0;1;1;1;1; ; ;1;1578
895;16;1;2021;1;0;1;1;1;1; ; ;1;1847
895;22;1;2021;1;0;1;1;2;1; ; ;2;1123
901;10;1;2021;1;0;1;1;2;1; ; ;2;401
901;11;1;2021;1;0;1;1;1;1; ; ;1;286
901;29;1;2021;1;0;1;2;4;1; ; ;4;1004
901;31;1;2021;1;0;1;1;1;1; ; ;1;470
901;36;1;2021;1;0;1;1;1;1; ; ;1;455
901;41;1;2021;1;0;1;1;1;1; ; ;1;319
901;57;1;2021;1;0;1;1;1;1; ; ;1;352
920;25;1;2021;1;0;1;2;1;1; ; ;1;6918
920;33;1;2021;1;0;1;3;7;1; ; ;7;9626
1027;9;1;2021;1;0;1;1;1;1; ; ;1;498
1027;21;1;2021;1;0;1;2;3;1; ; ;3;1168
1027;26;1;2021;1;0;1;1;1;1; ; ;1;499
1027;30;1;2021;1;0;1;1;1;1; ; ;1;355
1027;34;1;2021;1;0;1;1;1;1; ; ;1;414
1027;38;1;2021;1;0;1;1;1;1; ; ;1;625
1030;8;1;2021;1;0;1;1;1;1; ; ;1;214
1030;16;1;2021;1;0;1;2;1;1; ; ;1;442
1030;19;1;2021;1;0;1;1;1;1; ; ;1;196
1030;20;1;2021;1;0;1;2;7;4;2;1;2;269
1030;21;1;2021;1;0;1;2;9;3;1;1;1;442
1030;27;1;2021;1;0;1;1;1;1; ; ;1;211
1030;29;1;2021;1;0;1;1;2;1; ; ;2;134
1030;43;1;2021;1;0;1;3;1;1; ; ;1;470
1030;46;1;2021;1;0;1;4;1;1; ; ;1;601
1030;48;1;2021;1;0;1;2;1;1; ; ;1;401
1159;14;1;2021;1;0;1;1;1;1; ; ;1;888
1159;19;1;2021;1;0;1;2;2;1; ; ;2;461
1159;23;1;2021;1;0;1;1;1;1; ; ;1;328
1159;34;1;2021;1;0;1;2;1;1; ; ;1;413
1159;37;1;2021;1;0;1;1;2;1; ; ;2;241
1159;53;1;2021;1;0;1;1;2;1; ; ;2;308
1159;59;1;2021;1;0;1;3;1;1; ; ;1;619
1186;6;1;2021;1;0;1;2;2;3;1;1;1;1098
1186;26;1;2021;1;0;1;2;1;1; ; ;1;1418
1186;34;1;2021;1;0;1;1;2;1; ; ;2;498
1186;48;1;2021;1;0;1;1;1;1; ; ;1;445
1186;54;1;2021;1;0;1;1;2;1; ; ;2;783
1186;57;1;2021;1;0;1;2;1;1; ; ;1;1039
1291;4;1;2021;1;0;1;3;3;1; ; ;3;5102
1291;41;1;2021;1;0;1;2;3;1; ; ;3;4256
1291;64;1;2021;1;0;1;1;1;1; ; ;1;1210
1291;65;1;2021;1;0;1;1;1;1; ; ;1;1927
1345;26;1;2021;1;0;1;4;3;1; ; ;3;6031
1345;31;1;2021;1;0;1;3;2;1; ; ;2;2841
1345;47;1;2021;1;0;1;2;1;3;3;1;3;2208
1345;52;1;2021;1;0;1;3;5;1; ; ;5;4995
1448;13;1;2021;1;0;1;2;5;1; ; ;5;4342
1448;47;1;2021;1;0;1;1;2;1; ; ;2;1540
1448;50;1;2021;1;0;1;2;3;1; ; ;3;3711
1571;2;1;2021;1;0;1;2;1;1; ; ;1;2315
1571;11;1;2021;1;0;1;2;4;1; ; ;4;3807
1571;30;1;2021;1;0;1;1;2;1; ; ;2;1623
1571;55;1;2021;1;0;1;1;2;1; ; ;2;1294
1701;1;1;2021;1;0;1;1;1;1; ; ;1;293
1701;7;1;2021;1;0;1;2;1;1; ; ;1;417
1701;24;1;2021;1;0;1;1;2;1; ; ;2;328
1701;25;1;2021;1;0;1;3;1;1; ; ;1;771
1701;31;1;2021;1;0;1;1;2;1; ; ;2;293
1701;42;1;2021;1;0;1;3;2;1; ; ;2;699
1701;43;1;2021;1;0;1;2;2;1; ; ;2;634
1701;45;1;2021;1;0;1;1;1;1; ; ;1;293
1758;2;1;2021;1;0;1;1;2;1; ; ;2;606
1758;29;1;2021;1;0;1;1;2;1; ; ;2;431
1758;35;1;2021;1;0;1;2;4;1; ; ;4;1419
1758;36;1;2021;1;0;1;2;1;1; ; ;1;863
1758;41;1;2021;1;0;1;1;2;1; ; ;2;606
